timestamp,pm25_0,pm25_1,pm25_2,pm25_3
1605375004,54,64,68,70
1605375005,53,63,68,70
1605375006,53,63,69,70
1605375007,53,63,69,70
1605375008,53,62,70,70
1605375009,53,62,70,70
1605375010,53,62,71,71
1605375011,53,62,72,71
1605375012,54,62,73,71
1605375013,54,62,74,70
1605375014,55,62,75,70
1605375015,55,62,75,70
1605375016,55,62,75,70
1605375017,56,62,75,70
1605375018,56,62,75,70
1605375019,56,62,75,70
1605375020,56,62,74,70
1605375021,56,62,75,70
1605375022,55,63,75,70
1605375023,55,63,75,70
1605375024,55,63,75,70
1605375025,55,63,75,70
1605375026,55,63,76,69
1605375027,54,64,76,69
1605375028,54,64,76,68
1605375029,54,64,76,68
1605375030,54,64,76,68
1605375031,54,64,76,68
1605375032,54,64,76,67
1605375033,54,64,75,67
1605375034,54,64,75,67
1605375035,54,64,74,67
1605375036,54,64,74,67
1605375037,54,64,74,68
1605375038,54,64,74,68
1605375046,54,64,74,69
1605375047,54,64,74,69
1605375048,54,64,73,70
1605375049,54,64,73,70
1605375050,54,64,74,71
1605375051,54,64,73,71
1605375052,54,64,73,72
1605375053,54,63,73,72
1605375054,54,63,73,72
1605375055,54,62,72,73
1605375056,53,62,72,73
1605375057,53,61,72,73
1605375058,52,61,72,73
1605375059,52,61,72,73
1605375060,52,61,72,73
1605375061,52,60,72,73
1605375062,52,60,72,72
1605375063,52,60,72,72
1605375064,52,60,72,71
1605375065,52,61,71,70
1605375066,53,61,71,70
1605375067,52,61,71,70
1605375068,53,62,70,69
1605375069,53,62,70,69
1605375070,53,62,70,69
1605375071,53,63,69,68
1605375072,53,63,69,68
1605375073,53,63,69,68
1605375074,53,63,69,69
1605375075,53,63,68,69
1605375076,52,63,68,70
1605375077,52,63,68,70
1605375078,52,63,68,71
1605375079,52,63,68,71
1605375080,52,63,69,71
1605375081,52,63,69,71
1605375082,51,63,70,71
1605375083,51,63,70,71
1605375084,51,64,70,70
1605375085,51,64,71,70
1605375086,51,64,72,70
1605375087,51,64,72,69
1605375088,52,65,73,69
1605375089,52,65,73,68
1605375090,53,65,73,68
1605375091,54,63,73,68
1605375092,54,62,73,68
1605375093,55,62,73,68
1605375094,55,62,72,68
1605375095,55,62,72,68
1605375096,56,62,72,68
1605375097,56,62,71,69
1605375098,56,62,72,69
1605375099,56,62,72,70
1605375100,56,62,73,70
1605375101,55,62,73,70
1605375102,55,63,74,70
1605375103,55,63,77,70
1605375104,55,63,77,70
1605375105,56,63,77,70
1605375106,55,63,77,70
1605375107,55,63,78,70
1605375108,55,63,78,70
1605375109,55,63,77,69
